(base) kacper@macbook-pro-kacper-3 NYPD_project_final % python main.py /Users/kacper/Desktop/NYPD_project_final/data /Users/kacper/Desktop/NYPD_project_final/results
Analysis complete. Results have been saved in: /Users/kacper/Desktop/NYPD_project_final/results
         3961048 function calls (3956168 primitive calls) in 2.906 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _validators.py:427(validate_ascending)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _write_only.py:16(WriteOnlyWorksheet)
        1    0.000    0.000    0.013    0.013 _write_only.py:4(<module>)
        2    0.000    0.000    0.009    0.004 _writer.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _writer.py:47(WorkbookWriter)
     3923    0.024    0.000    0.052    0.000 _xlrd.py:106(<listcomp>)
        1    0.000    0.000    0.383    0.383 _xlrd.py:12(__init__)
        2    0.000    0.000    0.000    0.000 _xlrd.py:27(_workbook_class)
        1    0.000    0.000    0.383    0.383 _xlrd.py:33(load_workbook)
        1    0.000    0.000    0.000    0.000 _xlrd.py:42(sheet_names)
        1    0.000    0.000    0.000    0.000 _xlrd.py:50(get_sheet_by_index)
        1    0.006    0.006    0.062    0.062 _xlrd.py:54(get_sheet_data)
    82383    0.028    0.000    0.028    0.000 _xlrd.py:65(_parse_cell)
       10    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        6    0.000    0.000    0.000    0.000 abc.py:110(register)
       62    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
    77/26    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       11    0.000    0.000    0.028    0.003 accessor.py:117(wrapper)
        4    0.000    0.000    0.011    0.003 accessor.py:1290(replace)
       13    0.000    0.000    0.004    0.000 accessor.py:174(__init__)
       13    0.000    0.000    0.004    0.000 accessor.py:178(__get__)
       13    0.000    0.000    0.003    0.000 accessor.py:193(_validate)
        2    0.000    0.000    0.007    0.004 accessor.py:2231(startswith)
        2    0.000    0.000    0.006    0.003 accessor.py:2288(endswith)
        2    0.000    0.000    0.005    0.003 accessor.py:234(__getitem__)
       13    0.000    0.000    0.003    0.000 accessor.py:251(_wrap_result)
        3    0.000    0.000    0.003    0.001 accessor.py:2933(lower)
        1    0.000    0.000    0.000    0.000 algorithms.py:115(_ensure_data)
        9    0.000    0.000    0.000    0.000 algorithms.py:1356(take)
        1    0.000    0.000    0.000    0.000 algorithms.py:193(_reconstruct_data)
        1    0.000    0.000    0.000    0.000 algorithms.py:237(_ensure_arraylike)
        1    0.000    0.000    0.002    0.002 algorithms.py:803(value_counts)
        1    0.001    0.001    0.001    0.001 algorithms.py:883(value_counts_arraylike)
        1    0.000    0.000    0.000    0.000 alignment.py:16(Alignment)
        1    0.000    0.000    0.022    0.022 alignment.py:3(<module>)
       80    0.000    0.000    0.003    0.000 alignment.py:45(__init__)
      168    0.000    0.000    0.000    0.000 alignment.py:68(__iter__)
        1    0.000    0.000    0.004    0.004 api.py:1(<module>)
        1    0.001    0.001    0.001    0.001 api.py:23(FFI)
        2    0.000    0.000    0.000    0.000 api.py:331(default_index)
        4    0.000    0.000    0.000    0.000 apply.py:1055(__init__)
        4    0.000    0.000    0.030    0.008 apply.py:1074(apply)
        4    0.000    0.000    0.000    0.000 apply.py:108(__init__)
        4    0.000    0.000    0.030    0.008 apply.py:1124(apply_standard)
        1    0.000    0.000    0.000    0.000 area_chart.py:27(_AreaChartBase)
        1    0.000    0.000    0.032    0.032 area_chart.py:3(<module>)
        1    0.000    0.000    0.000    0.000 area_chart.py:55(AreaChart)
        1    0.000    0.000    0.000    0.000 area_chart.py:83(AreaChart3D)
        1    0.000    0.000    0.000    0.000 argparse.py:1086(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1295(__init__)
        3    0.000    0.000    0.001    0.000 argparse.py:1310(__init__)
       37    0.000    0.000    0.000    0.000 argparse.py:1363(register)
        8    0.000    0.000    0.000    0.000 argparse.py:1367(_registry_get)
        3    0.000    0.000    0.001    0.000 argparse.py:1392(add_argument)
        2    0.000    0.000    0.000    0.000 argparse.py:1443(add_argument_group)
        3    0.000    0.000    0.000    0.000 argparse.py:1453(_add_action)
        2    0.000    0.000    0.000    0.000 argparse.py:1517(_get_positional_kwargs)
        1    0.000    0.000    0.000    0.000 argparse.py:1533(_get_optional_kwargs)
        3    0.000    0.000    0.000    0.000 argparse.py:1567(_pop_action_class)
        3    0.000    0.000    0.000    0.000 argparse.py:1571(_get_handler)
        3    0.000    0.000    0.000    0.000 argparse.py:1580(_check_conflict)
        3    0.000    0.000    0.000    0.000 argparse.py:161(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1620(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1642(_add_action)
        1    0.000    0.000    0.002    0.002 argparse.py:1693(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1804(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1816(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 argparse.py:1817(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:1824(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1831(parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1870(_parse_known_args)
        2    0.000    0.000    0.000    0.000 argparse.py:1917(take_action)
